iter	Passed	Remaining
620	2184	1333
621	2187	1329
622	2190	1325
623	2194	1322
624	2197	1318
625	2200	1314
626	2204	1311
627	2207	1307
628	2211	1304
629	2214	1300
630	2217	1296
631	2220	1292
632	2223	1289
633	2227	1285
634	2230	1281
635	2233	1278
636	2236	1274
637	2241	1271
638	2244	1267
639	2247	1264
640	2250	1260
641	2253	1256
642	2257	1253
643	2264	1251
644	2267	1247
645	2270	1244
646	2274	1240
647	2277	1237
648	2282	1234
649	2286	1231
650	2290	1227
651	2297	1226
652	2302	1223
653	2306	1220
654	2310	1217
655	2314	1213
656	2318	1210
657	2322	1206
658	2327	1204
659	2330	1200
660	2344	1202
661	2348	1199
662	2351	1195
663	2355	1191
664	2358	1188
665	2362	1184
666	2366	1181
667	2372	1179
668	2376	1175
669	2379	1172
670	2381	1167
671	2387	1165
672	2391	1161
673	2394	1158
674	2397	1154
675	2406	1153
676	2413	1151
677	2417	1148
678	2421	1144
679	2425	1141
680	2429	1137
681	2432	1134
682	2436	1130
683	2440	1127
684	2444	1123
685	2448	1120
686	2451	1116
687	2455	1113
688	2458	1109
689	2462	1106
690	2466	1102
691	2470	1099
692	2475	1096
693	2479	1093
694	2483	1089
695	2487	1086
696	2490	1082
697	2493	1079
698	2497	1075
699	2500	1071
700	2504	1068
701	2508	1064
702	2512	1061
703	2516	1057
704	2519	1054
705	2522	1050
706	2526	1046
707	2529	1043
708	2532	1039
709	2536	1036
710	2540	1032
711	2543	1029
712	2547	1025
713	2550	1021
714	2554	1018
715	2558	1014
716	2561	1011
717	2565	1007
718	2568	1003
719	2572	1000
720	2575	996
721	2578	992
722	2582	989
723	2585	985
724	2588	981
725	2592	978
726	2594	974
727	2598	970
728	2601	967
729	2605	963
730	2608	959
731	2611	956
732	2615	952
733	2619	949
734	2622	945
735	2625	941
736	2628	937
737	2631	934
738	2634	930
739	2637	926
740	2640	922
741	2642	918
742	2646	915
743	2649	911
744	2652	907
745	2655	904
746	2658	900
747	2661	896
748	2664	892
749	2667	889
750	2670	885
751	2673	881
752	2676	878
753	2680	874
754	2683	870
755	2686	867
756	2689	863
757	2692	859
758	2695	856
759	2699	852
760	2703	848
761	2706	845
762	2710	841
763	2713	838
764	2716	834
765	2719	830
766	2723	827
767	2726	823
768	2729	820
769	2732	816
770	2736	812
771	2739	808
772	2742	805
773	2745	801
774	2748	798
775	2751	794
776	2754	790
777	2757	786
778	2760	783
779	2763	779
780	2766	775
781	2769	771
782	2772	768
783	2775	764
784	2778	761
785	2781	757
786	2784	753
787	2787	749
788	2790	746
789	2793	742
790	2796	738
791	2799	735
792	2802	731
793	2805	727
794	2807	723
795	2810	720
796	2813	716
797	2816	712
798	2819	709
799	2822	705
800	2824	701
801	2827	698
802	2830	694
803	2833	690
804	2836	687
805	2840	683
806	2842	679
807	2845	676
808	2848	672
809	2852	669
810	2855	665
811	2858	661
812	2861	658
813	2864	654
814	2868	651
815	2871	647
816	2874	643
817	2877	640
818	2880	636
819	2883	632
820	2886	629
821	2889	625
822	2892	622
823	2896	618
824	2899	615
825	2903	611
826	2906	608
827	2910	604
828	2914	601
829	2917	597
830	2921	594
831	2924	590
832	2927	586
833	2931	583
834	2934	579
835	2937	576
836	2941	572
837	2945	569
838	2948	565
839	2951	562
840	2955	558
841	2958	555
842	2961	551
843	2964	547
844	2967	544
845	2970	540
846	2973	537
847	2977	533
848	2980	530
849	2983	526
850	2987	523
851	2990	519
852	2994	515
853	2997	512
854	3000	508
855	3004	505
856	3007	501
857	3010	498
858	3014	494
859	3017	491
860	3020	487
861	3023	484
862	3026	480
863	3029	476
864	3032	473
865	3035	469
866	3038	466
867	3041	462
868	3043	458
869	3047	455
870	3050	451
871	3053	448
872	3056	444
873	3061	441
874	3064	437
875	3066	434
876	3069	430
877	3072	426
878	3075	423
879	3078	419
880	3110	420
881	3113	416
882	3116	412
883	3123	409
884	3126	406
885	3130	402
886	3133	399
887	3136	395
888	3139	391
889	3142	388
890	3145	384
891	3148	381
892	3152	377
893	3155	374
894	3159	370
895	3163	367
896	3166	363
897	3169	360
898	3172	356
899	3175	352
900	3179	349
901	3182	345
902	3185	342
903	3188	338
904	3192	335
905	3194	331
906	3198	327
907	3202	324
908	3205	320
909	3208	317
910	3211	313
911	3214	310
912	3217	306
913	3220	303
914	3223	299
915	3227	295
916	3232	292
917	3235	289
918	3239	285
919	3242	281
920	3246	278
921	3249	274
922	3253	271
923	3257	267
924	3261	264
925	3266	261
926	3270	257
927	3273	253
928	3276	250
929	3281	246
930	3284	243
931	3287	239
932	3291	236
933	3295	232
934	3299	229
935	3302	225
936	3305	222
937	3308	218
938	3312	215
939	3314	211
940	3316	207
941	3318	204
942	3321	200
943	3325	197
944	3328	193
945	3331	190
946	3334	186
947	3336	183
948	3339	179
949	3343	175
950	3346	172
951	3348	168
952	3351	165
953	3354	161
954	3358	158
955	3361	154
956	3363	151
957	3365	147
958	3367	143
959	3373	140
960	3377	137
961	3380	133
962	3382	129
963	3384	126
964	3390	122
965	3394	119
966	3397	115
967	3400	112
968	3406	108
969	3410	105
970	3412	101
971	3415	98
972	3421	94
973	3425	91
974	3428	87
975	3431	84
976	3435	80
977	3438	77
978	3440	73
979	3443	70
980	3447	66
981	3450	63
982	3453	59
983	3456	56
984	3459	52
985	3462	49
986	3467	45
987	3470	42
988	3474	38
989	3477	35
990	3480	31
991	3483	28
992	3487	24
993	3492	21
994	3497	17
995	3501	14
996	3505	10
997	3507	7
998	3510	3
999	3514	0
